LOGIN_LOGOUT_ID,EMAIL,DTE_LOGIN,DTE_LOGOUT
1,yoshiono@capcom.com,06/12/2020 08:18:24,06/12/2020 10:05:24
2,yoshiono@capcom.com,09/12/2020 12:38:11,09/12/2020 15:10:45
3,yoshiono@capcom.com,12/12/2020 23:48:41,13/12/2020 02:15:30
4,theterayama@capcom.com,28/02/2021 02:03:34,28/02/2021 06:50:40
5,takanaka@capcom.com,02/03/2021 01:15:33,02/03/2021 10:30:35
6,yoshiono@capcom.com,02/03/2021 04:12:14,02/03/2021 08:55:45
7,theterayama@capcom.com,22/04/2021 11:11:12,22/04/2021 14:35:25
8,takanaka@capcom.com,23/04/2021 13:28:31,23/04/2021 17:15:20
9,yoshiono@capcom.com,06/05/2021 07:08:34,06/05/2021 10:15:05
10,yusuke@capcom.com,07/06/2021 05:45:45,07/06/2021 08:40:30
11,yoshiono@capcom.com,08/06/2021 01:23:15,08/06/2021 05:45:35
12,takanaka@capcom.com,29/10/2021 11:22:23,29/10/2021 13:20:30
13,yoshiono@capcom.com,30/10/2021 19:15:11,30/10/2021 23:30:10
14,yusuke@capcom.com,31/10/2021 14:35:31,31/10/2021 16:25:20
15,tsuchiya@capcom.com,21/06/2022 01:21:32,21/06/2022 05:40:20
16,takanaka@capcom.com,22/06/2022 04:19:33,22/06/2022 06:40:15
17,theterayama@capcom.com,23/06/2022 06:28:53,23/06/2022 08:55:10
18,yusuke@capcom.com,24/06/2022 03:23:13,24/06/2022 04:45:15
19,takanaka@capcom.com,12/11/2022 14:12:43,12/11/2022 15:30:23
20,theterayama@capcom.com,12/11/2022 16:32:53,12/11/2022 18:40:30
21,tsuchiya@capcom.com,01/01/2023 00:00:00,01/01/2023 04:22:40
22,yoshiono@capcom.com,01/01/2023 00:13:34,01/01/2023 03:35:50
23,tsuchiya@capcom.com,01/01/2023 03:19:45,01/01/2023 06:20:20
24,yusuke@capcom.com,02/01/2023 17:34:23,02/01/2023 20:25:15
25,theterayama@capcom.com,04/01/2023 20:13:33,04/01/2023 23:30:10
