Email,Subscribe_Topic_Id
takanaka@capcom.com,1
takanaka@capcom.com,2
theterayama@capcom.com,2
tsuchiya@capcom.com,3
takanaka@capcom.com,3
theterayama@capcom.com,3
takanaka@capcom.com,4
theterayama@capcom.com,4
tsuchiya@capcom.com,4
yoshiono@capcom.com,4
takanaka@capcom.com,5
yusuke@capcom.com,6
tsuchiya@capcom.com,6
theterayama@capcom.com,7
tsuchiya@capcom.com,7
yoshiono@capcom.com,7
yusuke@capcom.com,8
theterayama@capcom.com,9
tsuchiya@capcom.com,9
yoshiono@capcom.com,10
tsuchiya@capcom.com,11
takanaka@capcom.com,11
theterayama@capcom.com,11
yoshiono@capcom.com,11
yusuke@capcom.com,11
